Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tony Bradley,C,25,CHI,12,0,2.8,0.5,1.0,.500,0.3,0.4,.600,0.3,0.6,.429,.625,0.3,0.3,1.000,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6
Andre Drummond,C,29,CHI,67,0,12.7,2.5,4.1,.606,0.0,0.0,.000,2.5,4.0,.613,.606,1.0,1.9,.536,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6.0
Blake Griffin,C,33,BOS,41,16,13.9,1.5,3.2,.485,0.6,1.6,.348,1.0,1.6,.625,.573,0.5,0.8,.656,1.1,2.6,3.8,1.5,0.3,0.2,0.5,1.8,4.1
Al Horford,C,36,BOS,63,63,30.5,3.6,7.6,.476,2.3,5.2,.446,1.3,2.4,.539,.627,0.2,0.3,.714,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8
Luke Kornet,C,27,BOS,69,0,11.7,1.6,2.5,.665,0.0,0.2,.231,1.6,2.3,.701,.674,0.5,0.6,.821,1.2,1.6,2.9,0.8,0.2,0.7,0.4,1.2,3.8
Kevon Looney,C,26,GSW,82,70,23.9,3.0,4.7,.630,0.0,0.0,.000,3.0,4.7,.632,.630,1.1,1.9,.606,3.3,5.9,9.3,2.5,0.6,0.6,0.5,2.7,7.0
Mike Muscala,C,31,BOS,20,4,16.2,2.1,4.5,.472,1.3,3.3,.385,0.9,1.2,.708,.612,0.5,0.7,.692,0.7,2.7,3.4,0.6,0.2,0.3,0.5,1.4,5.9
Marko Simonovic,C,23,CHI,7,0,2.9,0.3,1.0,.286,0.1,0.6,.250,0.1,0.4,.333,.357,0.1,0.3,.500,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,0.9
Noah Vonleh,C,27,BOS,23,1,7.4,0.5,1.0,.458,0.0,0.2,.250,0.4,0.9,.500,.479,0.1,0.1,1.000,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1
Nikola Vučević,C,32,CHI,82,82,33.5,7.3,14.0,.520,1.5,4.2,.349,5.8,9.8,.594,.573,1.6,1.9,.835,1.9,9.1,11.0,3.2,0.7,0.7,1.7,2.2,17.6
Robert Williams,C,25,BOS,35,20,23.5,3.6,4.9,.747,0.0,0.0,.000,3.6,4.8,.751,.747,0.7,1.2,.610,3.0,5.4,8.3,1.4,0.6,1.4,1.0,1.9,8.0
James Wiseman,C,21,GSW,21,0,12.5,2.8,4.5,.628,0.0,0.1,.500,2.8,4.4,.630,.633,1.2,1.8,.684,0.9,2.6,3.5,0.7,0.1,0.3,0.7,1.9,6.9
